Ветер:А,Ветер:Б,Ветер:В,Ветер:Г,Ветер:Д,Ветер:Е,Ветер:Ж,Солнце,Больницы,Заводы,Дома А,Дома Б
4.666048243237643,5.1774303357529705,1.6656116108968724,2.711536476653277,4.560461939159284,5.623258180632393,5.770361836404415,0.0,1.0820326329449512,4.319783254765086,1.387053612899327,0.9408901199416764
4.331975711957385,5.270838634551078,3.624540387034961,2.719746274705979,4.645435072474981,5.624441094832524,6.212908605164691,0.0,1.27180664537707,4.3775758146745565,1.0741862354237837,0.807744799177666
4.931811818565053,5.20838985921042,4.712345020777182,2.796748029719877,4.709111868437285,5.593142292722026,5.7337299274350055,0.0,1.0224661065719036,4.4556535788827105,0.8365906058797894,1.0243615122553378
5.065353748201417,5.284650655311583,5.44326917345923,2.7689817030118324,4.6676941428572585,5.6170329199388105,5.684138819924081,0.0,0.7793121045141765,4.464835642716956,1.0205212296857182,0.6929599895944125
4.673163136309573,5.378631389250631,4.599161110376887,4.717981753910022,4.191982334043126,5.589176341298975,5.66245194817268,0.0,0.6481698435155769,4.74954527197682,0.8617453545773561,0.6445993563939697
5.007517991367464,5.322544548221376,3.569088724443766,5.703109137055628,4.768849331981967,5.606515647274571,5.645743183390279,0.0,0.49603772595861806,4.64062332955636,0.503808897070603,1.1110896443192355
5.591788455071145,5.3446686555396345,1.4986004402751796,6.071553743566926,4.507152255660607,5.624948364579134,6.028051275010871,0.0,0.8787664309814117,4.921685753135056,0.7836476322160997,0.7624324001890427
5.916042745367715,5.297046113588699,2.481644324725349,6.536581872773392,4.8281556041116,3.535675150169192,5.565495222377049,0.0,0.9705896326279131,4.647455689699044,0.7787230631069948,0.7846962804335932
5.93328401992328,5.291508022691152,3.1945412077883906,6.499091769874944,4.40333075886335,2.499579887914405,5.50012941978536,0.0,1.014104804147828,4.997103972041126,0.8048441916599393,0.9703110280185893
5.98331985738535,5.3881104735061545,2.4405877132829117,6.471655781314276,3.941017878168223,1.88531569913154,5.516822981548215,0.0,1.4872653000475689,5.098137672083045,0.9012832624632838,1.239125017587672
6.0224083968248046,6.057656028090372,3.418682260459639,6.5692724854810125,3.5277423527388168,2.604611109751467,5.428086899447526,0.0,1.596958733786371,5.044554666643667,0.8310470513102822,1.126966453986005
3.934716157952539,5.288958824139761,3.7050485212479995,6.147846508705448,3.40503749688862,1.534879395227378,5.636626282728984,0.0,2.035368653138174,5.254636945324646,0.9306823571439364,1.236174115889206
